5,1,426,316,71,185,1,-1,-1,-1
5,2,273,619,88,263,1,-1,-1,-1
5,3,1717,451,75,229,1,-1,-1,-1
5,4,800,142,71,176,1,-1,-1,-1
5,5,470,141,65,176,1,-1,-1,-1
5,6,348,316,67,173,1,-1,-1,-1
5,7,885,937,83,142,1,-1,-1,-1
5,8,984,474,86,232,1,-1,-1,-1
5,9,906,494,66,221,1,-1,-1,-1
5,10,311,169,64,188,1,-1,-1,-1
5,11,1680,38,57,171,1,-1,-1,-1
5,12,1367,987,125,92,1,-1,-1,-1
5,14,1404,8,62,159,1,-1,-1,-1
5,15,1585,20,48,135,1,-1,-1,-1
5,17,684,270,60,147,1,-1,-1,-1
5,18,1471,68,60,157,1,-1,-1,-1
5,19,1090,0,50,139,1,-1,-1,-1
6,1,425,315,73,190,1,-1,-1,-1
6,2,274,622,87,261,1,-1,-1,-1
6,3,1717,452,76,227,1,-1,-1,-1
6,4,800,142,71,176,1,-1,-1,-1
6,5,469,142,65,175,1,-1,-1,-1
6,6,348,318,66,171,1,-1,-1,-1
6,7,888,936,83,143,1,-1,-1,-1
6,8,982,469,87,235,1,-1,-1,-1
6,9,904,487,68,227,1,-1,-1,-1
6,10,312,170,62,186,1,-1,-1,-1
6,11,1680,38,58,174,1,-1,-1,-1
6,12,1361,980,133,99,1,-1,-1,-1
6,14,1404,8,62,159,1,-1,-1,-1
6,15,1586,20,49,136,1,-1,-1,-1
6,17,684,270,61,147,1,-1,-1,-1
6,18,1471,71,59,155,1,-1,-1,-1
6,19,1090,0,50,140,1,-1,-1,-1
8,1,424,313,74,194,1,-1,-1,-1
8,2,272,624,90,270,1,-1,-1,-1
8,3,1717,450,77,231,1,-1,-1,-1
8,4,800,141,70,177,1,-1,-1,-1
8,5,467,140,70,189,1,-1,-1,-1
8,6,350,319,66,170,1,-1,-1,-1
8,7,892,938,83,141,1,-1,-1,-1
8,8,979,465,88,239,1,-1,-1,-1
8,9,901,483,70,233,1,-1,-1,-1
8,10,312,171,62,185,1,-1,-1,-1
8,11,1682,42,56,169,1,-1,-1,-1
8,12,1359,976,136,103,1,-1,-1,-1
8,14,1404,7,62,160,1,-1,-1,-1
8,15,1587,23,48,132,1,-1,-1,-1
8,17,684,270,60,147,1,-1,-1,-1
8,18,1471,71,59,157,1,-1,-1,-1
8,19,1090,0,50,141,1,-1,-1,-1
9,1,424,315,73,193,1,-1,-1,-1
9,2,272,625,91,274,1,-1,-1,-1
9,3,1717,451,76,229,1,-1,-1,-1
9,4,800,141,70,176,1,-1,-1,-1
9,5,467,144,72,194,1,-1,-1,-1
9,6,350,319,66,170,1,-1,-1,-1
9,7,895,938,83,141,1,-1,-1,-1
9,8,978,459,90,246,1,-1,-1,-1
9,9,899,481,71,236,1,-1,-1,-1
